"year","denomination_id","name","short_name","family_census","family_arda","family_relec","id"
1906,,"Advent Christian Church","Advent Christian Church","Adventist","Adventist","Adventist",1069
1906,,"African Methodist Episcopal Church","African Methodist Episcopal Church","Methodist","Methodist/Pietist","Methodist",1070
1906,,"African Methodist Episcopal Zion Church","African Methodist Episcopal Zion Church","Methodist","Methodist/Pietist","Methodist",1071
1906,,"African Union Methodist Protestant Church","African Union Methodist Protestant Church","Methodist","Methodist/Pietist","Methodist",1072
1906,,"Amana Society","Amana Society","Communistic Societies","Communal","Communitarian Societies",1199
1906,,"American Salvation Army","American Salvation Army","Salvationists","Holiness","Holiness",1073
1906,,"Amish Mennonite Church","Amish Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1227
1906,,"Apostolic Christian Church","Apostolic Christian Church","Evangelistic Associations","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Anabaptists",1209
1906,,"Apostolic Faith Movement","Apostolic Faith Movement","Evangelistic associations","Pentecostal","Pentecostal",1074
1906,,"Apostolic Lutheran Church (Finnish)","Apostolic Lutheran Church (Finnish)","Lutheran","Lutheran","Lutheran",1223
1906,,"Armenian Church","Armenian Church","Armenian Church","Eastern Liturgical Family (Orthodox)","Orthodox",1075
1906,,"Associate Reformed Synod of the South","Associate Reformed Synod of the South","Presbyterian","Reformed/Presbyterian","Presbyterian",1243
1906,,"Associate Synod of North America (Associate Presbyterian Church)","Associate Synod of North America (Associate Presbyterian Church)","Presbyterian","Methodist/Pietist","Moravian",1242
1906,,"Brethren in Christ","Brethren in Christ","Brethren (River)","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Pietist",1192
1906,,"Brethren (Plymouth) - I ","Brethren (Plymouth) - I ","Brethren (Plymouth)","Independent Fundamentalist","Plymouth Brethren",1079
1906,,"Brethren (Plymouth) - II","Brethren (Plymouth) - II","Brethren (Plymouth)","Independent Fundamentalist","Plymouth Brethren",1080
1906,,"Brethren (Plymouth) - III","Brethren (Plymouth) - III","Brethren (Plymouth)","Independent Fundamentalist","Plymouth Brethren",1081
1906,,"Brethren (Plymouth) - IV","Brethren (Plymouth) - IV","Brethren (Plymouth)","Independent Fundamentalist","Plymouth Brethren",1082
1906,,"Bruederhoef Mennonite Church","Bruederhoef Mennonite Church","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1226
1906,,"Catholic Apostolic Church","Catholic Apostolic Church","Catholic Apostolic Churches","Other groups","Catholic",1083
1906,,"Central Illinois Conference of Mennonites","Central Illinois Conference of Mennonites","Mennonite","European Free-Church (Brethren, Mennonites, Quakers, Amish)","Mennonite",1235
1906,,"Chinese Temples","Chinese Temples","Buddhists","Other groups","Buddhists",1195
1906,,"Christadelphians","Christadelphians","Christadelphians","Other groups","Restoration",1196
