"id","denomination_id","name","family_census","family_arda","family_relec","short_name","year"
1,"0-0-0","Advent Christian Church","Adventist bodies","Adventist","Adventist","Advent Christian Church",1926
2,"0-0-1","Seventh-day Adventist","Adventist bodies","Adventist","Adventist","Seventh-day Adventist",1926
3,"0-0-2","Church of God (Adventist)","Adventist bodies","Adventist","Adventist","Church of God (Adventist)",1926
4,"0-0-3","Life and Advent Union","Adventist bodies","Adventist","Adventist","Life and Advent Union",1926
5,"0-0-4","Church of God in Christ Jesus (Adventist)","Adventist bodies",,"Adventist","Church of God in Christ Jesus (Adventist)",1926
6,"2-0-0","African Orthodox Church",,"Eastern Liturgical Family (Orthodox)","Other groups","African Orthodox Church",1926
7,,"African Orthodox Church of New York",,,"Other groups","African Orthodox Church of New York",1926
8,"1-8-5","American Ethical Union",,"Liberal","Other groups","American Ethical Union",1926
9,"0-0-5","American Rescue Workers",,"Holiness","Holiness","American Rescue Workers",1926
10,"2-2-5","Apostolic Overcoming Holy Church of God",,"Pentecostal","Pentecostal","Apostolic Overcoming Holy Church of God",1926
11,"0-0-7","Assemblies of God, General Council",,"Pentecostal","Pentecostal","Assemblies of God, General Council",1926
12,"0-9-4","Assyrian Jacobite Apostolic Church",,,"Orthodox","Assyrian Jacobite Apostolic Church",1926
13,"0-0-8","Baha’is",,"Miscellaneous","Other groups","Baha’is",1926
14,"0-0-9","Northern Baptist Convention","Baptist bodies","Baptist","Baptist","Northern Baptist Convention",1926
15,"0-1-0","Southern Baptist Convention","Baptist bodies","Baptist","Baptist","Southern Baptist Convention",1926
16,"0-1-1-A","Negro Baptists","Baptist bodies",,"Baptist","Negro Baptists",1926
17,"0-1-2","General Six Principle Baptists","Baptist bodies","Baptist","Baptist","General Six Principle Baptists",1926
18,"0-1-3","Seventh Day Baptists","Baptist bodies","Baptist","Baptist","Seventh Day Baptists",1926
19,"0-1-5","Free Will Baptists","Baptist bodies","Baptist","Baptist","Free Will Baptists",1926
20,"0-1-6","United American Free Will Baptist Church (Colored)","Baptist bodies","Baptist","Baptist","United American Free Will Baptist Church (Colored)",1926
21,"0-1-7","Free Will Baptists (Bullockites)","Baptist bodies","Baptist","Baptist","Free Will Baptists (Bullockites)",1926
22,"0-1-8","General Baptists","Baptist bodies","Baptist","Baptist","General Baptists",1926
23,"0-1-9","Separate Baptists","Baptist bodies","Baptist","Baptist","Separate Baptists",1926
24,"0-2-0","Regular Baptists","Baptist bodies","Baptist","Baptist","Regular Baptists",1926
25,"0-2-1","United Baptists","Baptist bodies","Baptist","Baptist","United Baptists",1926
26,"0-2-2","Duck River and Kindred Associations of Baptists (Baptist Church of Christ)","Baptist bodies","Baptist","Baptist","Duck River and Kindred Associations of Baptists",1926
27,"0-2-3","Primitive Baptists","Baptist bodies","Baptist","Baptist","Primitive Baptists",1926
28,"0-2-4","Colored Primitive Baptists","Baptist bodies","Baptist","Baptist","Colored Primitive Baptists",1926
